location,size,society,total_sqft,bath,balcony,price
KR Puram,2,Hivesdr,1040,2,2,50
Hosur Road,2,Collsrn,1085,2,2,33.7
Virat Nagar,3,,1215,2,2,49.75
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Panathur,2,,1210,2,1,77
Kallumantapa,2,SMncyy ,1050,2,1,55
Gandhi Bazar,6,,1020,6,1,370
Iblur Village,3,DNionfl,1920,3,2,150
Uttarahalli,3,,1250,2,1,50
Mysore Road,2,PrntaEn,947.55,2,1,80
Malleshpalya,2,KencyRe,1421,2,1,90
Gandhi Bazar,6,,1020,6,1,370
Old Madras Road,3,Saesttt,1425,2,2,74.31
Budigere,2,PrityTr,1162,2,1,58
Whitefield,1,Prtates,905,1,1,60
Sarjapur  Road,2,Shthi S,914,2,1,32
elachenahalli,2,,1258,2,0,58
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Whitefield,3,BMttaor,1537,2,3,70
Chikkalasandra,3,,1230,2,2,53.51
Gandhi Bazar,6,,1020,6,1,370
Malleshwaram,3,Aimesya,2250,3,1,200
Gandhi Bazar,6,,1020,6,1,370
Vivek Nagar,8,,3000,4,3,130
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Anjanapura,2,ACopsva,950,2,0,32
Marathahalli,4,PueraRi,4000,4,0,200
Yelahanka,3,Pyikad ,1282,2,1,48.72
Banashankari Stage III,2,,1304,2,0,111
7th Phase JP Nagar,3,,2100,3,2,200
Jakkur,3,Paurt C,1220,2,2,49
Budigere,3,PrityTr,1636,3,2,85
7th Phase JP Nagar,3,Kaiew L,1415,3,1,65
Green Glen Layout,3,Soweray,1728,3,2,125
7th Phase JP Nagar,3,Eladero,1680,3,3,125
Venkatapura,2,ThBayah,1235,2,1,140
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Kasavanhalli,2,HMonymp,1495,2,2,83
Gandhi Bazar,6,,1020,6,1,370
Yeshwanthpur,3,IBityin,2501,3,3,138
Kanakpura Road,1,Roiti A,381,1,0,28
Gopalapura,4,Sothadr,3301.8,5,2,570
Hennur Road,3,SaireSa,2002,3,2,120
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Basavanna Nagar,3,Itala A,1450,3,2,90
Electronic City,2,MDonta ,1039,2,1,50
Old Madras Road,2,Brglede,1210,2,1,80
Attibele,2,DSvar S,995,1,1,24.88
Yelahanka,3,NCarkna,1620,3,2,90
Gandhi Bazar,6,,1020,6,1,370
Hebbal Kempapura,3,GonumPl,3408,3,3,260
Marathahalli,2,Kames S,1314,2,3,55
Bisuvanahalli,2,Prityel,945,2,1,33
Nehru Nagar,3,Undge T,1374,3,2,72
Kanakpura Road,3,PrityFa,1603,3,3,113
Kengeri,3,Vaens G,1230,2,2,52
Sarjapur  Road,4,Ahriaup,1864,3,2,105
Gandhi Bazar,6,,1020,6,1,370
Raja Rajeshwari Nagar,3,DScon S,1625,2,2,54
Whitefield,2,Sonviik,1186,2,3,55
Gandhi Bazar,6,,1020,6,1,370
Electronic City,2,GMown E,770,1,1,39.9
Varthur,2,HioraTr,1085,2,1,45
Dairy Circle,4,Soeurri,3754,6,2,480
Dodsworth Layout,3,Ciques ,1893,3,2,115
Gandhi Bazar,6,,1020,6,1,370
Kundalahalli,3,AnentAp,1496,2,3,78
Chandapura,3,SunceEs,1305,3,1,33.28
Electronics City Phase 1,3,Shiaa S,1550,2,2,82
Marathahalli,3,,1200,2,1,58.17
Badavala Nagar,3,DNncasa,1494,2,2,94.55
Electronic City Phase II,2,SJmesst,1286,2,2,69
Gandhi Bazar,6,,1020,6,1,370
Hebbal,3,MVkleiw,1860,3,2,95
Raghuvanahalli,1,,425,1,1,750
Haralur Road,2,RInceeg,1243,2,2,45
Brookefield,2,Stlomg ,1200,2,2,75
Sarjapur,2,Peles P,1044,2,2,32
7th Phase JP Nagar,2,SrncyRe,1040,2,1,41.59
8th Phase JP Nagar,2,,1125,2,2,36.94
Cunningham Road,3,,3489,3,1,662
Subramanyapura,3,Prldsri,1278,2,2,59
Chelekare,6,,2400,6,2,98
Belatur,2,ViaarSa,1250,2,1,43
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Lakshminarayana Pura,2,,1210,2,2,75
8th Phase JP Nagar,4,,1200,3,2,110
Sarjapur  Road,3,AsastDe,1157,2,1,57.84
Raja Rajeshwari Nagar,2,GrrvaGr,1185,2,1,51.15
Kalena Agrahara,3,MancyRe,1450,3,3,100
Old Madras Road,3,Sastaat,1859,3,2,121
Rajaji Nagar,2,PhestOn,1763,3,2,262
Attibele,2,Inenshe,900,1,1,25
Ramamurthy Nagar,3,Foghaa ,1305,3,1,60
Srirampuram,3,,1200,2,2,100
Sarjapur  Road,2,Shthi S,1150,2,0,36.8
Whitefield,3,Agtiaur,1806,3,3,85
Kudlu,2,Srrnasa,1027,2,2,42
Uttarahalli,2,DSera S,1002,2,1,40.08
Electronic City Phase II,3,Sryalan,1220,2,1,36.21
Whitefield,2,SMuilan,1109,2,1,35.22
Uttarahalli,2,DSera S,1002,2,1,40.08
Narayanapura,2,AriosHe,1308,2,1,89.04
Hennur Road,2,Puachal,1232,2,1,69.6
Haralur Road,2,,1027,2,2,44
Kalyan nagar,2,,1250,2,2,65
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Raja Rajeshwari Nagar,2,GrrvaGr,1255,2,1,53.87
Akshaya Nagar,3,DLhtsnd,1434,3,3,84
Doddathoguru,2,Vabow R,925,2,2,30
Jakkur,3,Ceezey ,1858,3,1,123
Jakkuru Layout,2,Vithm R,1205,2,1,70
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Mysore Road,2,,1020,2,2,48.95
Thanisandra,2,Bhmesy ,965,2,1,56
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Battarahalli,2,PaontWa,1636,2,2,82.89
Kundalahalli,3,Dieldli,1724,3,1,125
Whitefield,2,Prtates,1216,2,1,67
Yelahanka,1,Prensya,654,1,1,36.25
Gandhi Bazar,6,,1020,6,1,370
Abbaiah Reddy Layout,2,,1190,2,2,41
Gandhi Bazar,6,,1020,6,1,370
Budigere,3,PrityTr,1636,3,2,92
Hennur Road,2,Shxorm ,1195,2,2,73
Nagavara,3,Vancyat,2400,3,3,251
1st Block HRBR Layout,2,,1250,2,1,67
Whitefield,3,Nillsre,1452,3,1,90
Thanisandra,3,Bhe 2ko,1546,3,1,95
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Indira Nagar,2,Suurtni,1475,2,2,171
JP Nagar,4,Arentra,3000,3,2,150
Gandhi Bazar,6,,1020,6,1,370
Balagere,2,Soresea,1007,2,1,66
Hennur Road,2,,1020,2,3,47
Lavelle Road,2,,1000,2,0,150
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Marathahalli,2,,1125,2,3,55
Gandhi Bazar,6,,1020,6,1,370
Kada Agrahara,3,CoaveAt,909,2,1,43
Gandhi Bazar,6,,1020,6,1,370
Dodsworth Layout,2,Ciques ,1400,2,3,85
Kadugodi,2,,1152,2,2,61
Subramanyapura,2,,958,2,1,34.49
Whitefield,2,SrireSo,1150,2,2,55
Old Madras Road,3,Brica E,2990,5,1,173
Bellandur,2,Trows M,1310,2,2,85
Hosur Road,3,Saageat,1590,2,2,126
Green Glen Layout,3,SoosePr,1645,3,2,110
Gandhi Bazar,6,,1020,6,1,370
Thanisandra,3,Soitya ,1795,3,2,150
8th Phase JP Nagar,2,,1100,2,3,35
Kalkere,2,Sothin ,925,2,2,70
Basavangudi,3,,1542.14,3,3,120
Gandhi Bazar,6,,1020,6,1,370
Thanisandra,3,MenueNo,1430,2,2,54
Bommanahalli,2,Jaw 2 L,1020,2,2,55
Gandhi Bazar,6,,1020,6,1,370
Electronic City Phase II,2,Sryalan,1140,2,1,32.92
Anekal,3,,967,2,1,45
Hebbal,4,Raard B,2470,4,2,203
Maruthi Nagar,2,PavanSa,850,1,0,35.5
Vidhyanagar Cross,2,,1100,2,2,32
Thanisandra,3,Soitya ,1697,3,2,110
Varthur,2,,1250,2,2,47
Gottigere,2,Pridei ,1120,2,2,50
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Hebbal,2,,1200,2,1,52
7th Phase JP Nagar,2,,1100,2,1,44
 Devarachikkanahalli,3,,1417,2,2,76
Thanisandra,3,Bhmesy ,1492,3,1,88
Devanahalli,3,Sabixtt,1498,3,3,79.15
Bellari Road,4,Sohid O,3500,2,1,350
Kundalahalli,2,Rasom B,1010,2,1,48.27
Hennur,2,Shateor,1255,2,2,53.5
Channasandra,2,Unm 2El,1050,2,1,35
Hegde Nagar,3,SoitaCa,1847,3,2,125
1st Stage Indira Nagar,2,,1200,2,2,55
Bellandur,2,,982,2,2,37.28
Hegde Nagar,3,SoisoCa,2144.6,4,2,145
Kengeri,2,VBeriav,750,2,1,36.5
Electronic City,2,Itvir M,919,2,2,35
Budigere,2,PrityTr,1087,2,1,54.3
Sunder Ram Shetty Nagar,3,Bustain,1480,3,2,74
Tindlu,2,,1180,2,2,52
6th Block Jayanagar,3,,2100,4,2,255
Jigani,3,DLhtsan,1221,3,2,65
Haralur Road,2,,1194,2,2,46
Thanisandra,3,MSureRR,2072,3,2,122
Whitefield,3,,1600,3,2,69
Sahakara Nagar,3,,2200,3,2,98
Rajaji Nagar,3,Brway G,1640,3,3,220
Kaikondrahalli,2,Srsica ,1253,2,2,81.5
Hennur Road,2,Koagati,1061,2,1,54.92
Marathahalli,3,,1950,3,2,115
Marathahalli,2,Suvals ,1250,2,2,68
Hennur Road,3,MItatHa,1585,2,3,80
Kanakpura Road,3,JRrnauv,1452,3,3,60.98
Kammasandra,2,Prncy R,1015,2,2,37
Marathahalli,2,,1125,2,2,56.8
Electronic City Phase II,2,MJtroty,1116,2,2,40
Gandhi Bazar,6,,1020,6,1,370
Kasavanhalli,4,Vaidsi ,4000,4,2,325
Hebbal,4,RMudeat,3900,4,2,410
Old Madras Road,2,Sastaat,1300,2,2,100
Raja Rajeshwari Nagar,2,GrrvaGr,1419,2,1,60.42
Punappa Layout,3,DSionhe,1310,2,1,55
Thigalarapalya,3,Prtanha,2072,4,2,152
Kaggadasapura,2,KKersow,1240,2,1,58.58
Chamrajpet,3,,1565,3,2,98.91
Budigere,3,PrityTr,1820,3,2,89
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Hosa Road,2,,1245,2,1,62
GM Palaya,3,MSuntra,1315,3,1,65
Kenchenahalli,3,Unateit,1410,2,2,73
Dasarahalli,2,Indesve,1375,2,1,60
Old Madras Road,2,Sastaat,1299,2,2,95
Pampa Extension,2,Pancy R,993,2,3,45.5
Gandhi Bazar,6,,1020,6,1,370
Lavelle Road,2,,985,2,1,156
Gandhi Bazar,6,,1020,6,1,370
Hebbal,3,Magiaya,1255,2,1,95
Hoodi,3,GoAirej,1655,3,2,131
Whitefield,4,Prtates,2830,5,3,190
 Sector 1 HSR Layout,1,,6000,1,1,276
Electronic City,2,Itelaa ,550,1,1,15
Balaji Gardens Layout,1,,825,2,1,40
Begur Road,3,Pruthg ,1634,3,1,111
Gandhi Bazar,6,,1020,6,1,370
Banaswadi,2,,1222,2,2,80
Gottigere,3,Pridei ,1500,3,2,63
Akshaya Nagar,3,,1890,4,2,100
Gandhi Bazar,6,,1020,6,1,370
Hulimavu,2,,850,1,1,39.5
Whitefield,2,Veales ,1295,2,3,78.5
Sarjapur  Road,2,DSndsod,1320,2,1,100
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Harlur,2,,1197,2,1,82
Hoysalanagar,3,,1320,2,3,60
Gandhi Bazar,6,,1020,6,1,370
Whitefield,1,Oreldhi,840,1,1,57.6
Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,1,71.38
Kodihalli,2,,1000,2,1,62
Babusapalaya,2,AReenui,1305,2,1,70
Kodichikkanahalli,1,Jae 1ke,450,1,1,18
CV Raman Nagar,1,Pu270a ,705,1,1,57
Ilyas Nagar,4,,750,6,2,75
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Whitefield,3,,1991,3,2,104
Battarahalli,3,PaontWa,1779,3,2,90
Gandhi Bazar,6,,1020,6,1,370
Banaswadi,2,RailsDa,870,2,2,38
Thanisandra,3,Bhmesy ,1595,3,2,120
Kanakpura Road,1,PrarePa,525,1,1,26
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Iblur Village,3,DNionfl,2000,4,2,138
Yelahanka,3,NCarkna,1614,3,2,93
Gottigere,2,,1200,2,3,40
Electronic City Phase II,3,Sravehi,1150,3,3,46
Indira Nagar,4,,3200,4,3,440
Sonnenahalli,3,Skacak ,1610,3,2,80.48
Whitefield,2,,1190,2,2,41
Kallumantapa,2,SMncyy ,1050,2,2,50
Gandhi Bazar,6,,1020,6,1,370
7th Phase JP Nagar,3,Brnia G,1460,2,1,97
Jaymahal Road,3,,3400,3,3,400
Gandhi Bazar,6,,1020,6,1,370
Suraksha Nagar,3,AritaFe,1569,3,0,70
Gandhi Bazar,6,,1020,6,1,370
Electronics City Phase 1,1,Shiaa S,645,1,0,42.5
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Marathahalli,2,Asintas,1350,2,1,90
BTM 2nd Stage,3,SNe 2ev,2780,4,1,325
Rajarajeshwari Nagara,3,,1410,2,2,45.12
Whitefield,2,SMuilan,1109,2,1,35.47
Vasanth nagar,4,LeeyaCa,2000,3,2,1063
Agrahara Dasarahalli,1,,800,1,0,72
Bannerghatta Road,2,SNity S,1215,2,1,68
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Varthur Road,2,,1255,2,2,52.76
B Narayanapura,2,,1020,2,1,49
T R Mill Road,3,,1225,2,2,82
Singasandra,2,,1120,2,1,60
Gandhi Bazar,6,,1020,6,1,370
Kasavanhalli,3,Conixt ,1225,2,1,69
Gandhi Bazar,6,,1020,6,1,370
Indira Nagar,4,,4000,4,1,700
Sarjapur  Road,3,Puallhi,1984,4,1,145
Old Madras Road,3,Saciatt,2425,3,1,197
Gandhi Bazar,6,,1020,6,1,370
Bommasandra,2,DSoodil,1127,2,1,45
Whitefield,3,,1655,3,2,97
Ananth Nagar,1,,500,1,1,14
Gandhi Bazar,6,,1020,6,1,370
Kaggadasapura,2,P num P,1000,2,2,43
CV Raman Nagar,2,,1225,2,2,47.88
Hormavu,2,Hedosme,1350,2,2,45
Gandhi Bazar,6,,1020,6,1,370
Sahakara Nagar,2,Mosom B,1175,2,3,49
Sanne Amanikere,1,Hoxiaa ,655,1,2,27
Hosa Road,3,Skume R,1311,2,1,84.86
Gandhi Bazar,6,,1020,6,1,370
CV Raman Nagar,2,Mancyes,1000,2,1,38.5
Indira Nagar Stage 2,2,,1196,2,1,96
Kanakpura Road,3,Wiowsri,1050,2,1,59
Somasundara Palya,3,,1275,2,2,52
Hommadevanahalli,2,,927,2,1,50
Varthur,3,CaestSr,1520,2,3,61
Gandhi Bazar,6,,1020,6,1,370
Hebbal,2,Prersis,1333,2,1,104
Tunganagara,1,DSdidSp,600,1,0,18
Abbigere,3,DSestma,1326,2,1,34.8
Koramangala,2,KHage G,1370,2,2,125
Koramangala,2,KHage G,1100,2,2,85
Haralur Road,3,,1650,3,3,100
Kasavanhalli,3,,1917,3,2,132
Doddakannelli,3,,780,3,2,75
Billekahalli,2,Raony C,950,2,1,58.11
T C Palya main Road,2,,1175,2,1,48.72
8th Phase JP Nagar,2,,1089,2,1,43.55
Kalena Agrahara,3,Prillot,1804,3,2,175
Hoodi,2,Keers S,1257,2,1,68.5
Sarjapur,1,SNityVe,650,1,2,19.87
Whitefield,3,BrlisCo,1850,3,2,150
Gandhi Bazar,6,,1020,6,1,370
Vidyaranyapura,2,,945,2,1,40
Koramangala,2,,1161,2,1,63.85
Banashankari Stage V,3,Naiewre,1630,3,2,51.35
Jalahalli,3,DSons S,1310,2,2,60
Lake City,2,,750,2,1,28
Gandhi Bazar,6,,1020,6,1,370
Vittal Nagar,2,Riave E,1000,2,1,45
Gandhi Bazar,6,,1020,6,1,370
Nagavara,2,,1315,2,2,70
Sahakara Nagar,3,NCensun,1370,2,2,90
Gandhi Bazar,6,,1020,6,1,370
Bellandur,2,Ocavees,1465,3,3,90
JP Nagar,3,,20000,3,3,175
Electronic City,2,Prarkun,1128,2,1,64
Padmanabhanagar,3,Silusti,1250,2,2,70
Hebbal,3,Raard B,1645,3,2,117
Horamavu Agara,3,,1284,2,2,75
Hebbal,3,SNontle,2600,3,2,199
Kodigehalli,3,,1820,3,2,150
Haralur Road,3,,1580,3,1,73
Gandhi Bazar,6,,1020,6,1,370
Bannerghatta Road,2,SNity S,1215,2,1,68
Uttarahalli,2,,1075,2,1,40
R.T. Nagar,3,JaniaGa,1400,2,3,78
Subramanyapura,3,,1400,2,1,55
Bisuvanahalli,2,Prityel,845,2,1,30
Hegde Nagar,4,,2600,4,3,40
Richards Town,2,,800,2,1,85
Panathur,2,Prcesvy,1199,2,1,85
Gunjur,2,Akncyes,1175,2,2,43.48
Gandhi Bazar,6,,1020,6,1,370
Bellandur,3,OriewLa,1767,3,2,109
Sarjapur  Road,4,Asncywo,1800,3,1,90
Talaghattapura,3,Sodgere,1856,3,2,135
Gandhi Bazar,6,,1020,6,1,370
Rajaji Nagar,3,Puwerun,1613,3,0,150
Jakkur,4,Cruran ,6830,5,0,795
Whitefield,2,,1290,2,0,90
Kasavanhalli,2,HMonymp,1375,2,1,78
Bagalur,2,Haows M,985,2,2,57
Gandhi Bazar,6,,1020,6,1,370
Singasandra,2,,1099,2,1,37.5
Electronic City,1,Sidin J,605,1,0,13.31
1 Immadihalli,11,,6000,12,0,150
Gandhi Bazar,6,,1020,6,1,370
Marathahalli,2,Srers T,1200,2,1,53
Hulimavu,2,Chtali ,1000,2,1,45
Electronic City,3,Itvir M,1159,2,3,38
Sarjapur  Road,5,Adeatlm,3692,5,3,340
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
BTM Layout,3,Myace P,1540,2,2,78
"JP Nagar 7th Phase, ",3,,1503,2,2,93
Ambedkar Nagar,3,SoechHa,1850,4,2,120
Uttarahalli,3,Sungspr,1580,3,1,60
Mico Layout,2,Amsomun,1190,2,2,39.25
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Jakkur,2,,850,1,1,19.9
Domlur,3,,2180,3,2,285
Hennur Bande,3,,2500,2,1,60
Gandhi Bazar,6,,1020,6,1,370
Kamakshipalya,3,,1500,2,2,52
Gandhi Bazar,6,,1020,6,1,370
Thanisandra,3,R ra  R,1880,3,3,120
Padmanabhanagar,2,Saalpas,1150,2,2,45
Gandhi Bazar,6,,1020,6,1,370
Bellandur,2,,924,2,2,35.11
Sarjapur  Road,5,Maana E,7800,6,2,385
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
B Narayanapura,3,,1765,3,2,77.27
Attibele,2,DSvar S,1174,2,1,29.35
Bannerghatta Road,3,Saenett,1894,3,1,115
Gandhi Bazar,6,,1020,6,1,370
Sector 7 HSR Layout,3,Saitya ,1760,3,2,142
Doddanakundi Industrial Area 2,3,,1768,3,3,95
Kothanur,3,Somumys,1790,3,0,97
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Mahadevpura,2,Neisei ,1137,2,1,53.4
Gandhi Bazar,6,,1020,6,1,370
Mysore Road,3,SaodySa,1568,2,2,100
AECS Layout,2,Concyvi,1308,2,1,60
Shankarapuram,4,,3060,4,2,350
Bisuvanahalli,3,Prityel,1200,2,1,41
Shetty Halli,1,,800,1,2,32
Electronic City,1,Shntie ,530,1,1,13.5
Bisuvanahalli,3,Prityel,873,2,1,40
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Subramanyapura,2,,958,2,1,33.53
Thigalarapalya,3,Prtanha,2072,4,2,160
Talaghattapura,3,Sodgere,2273,3,3,159
Gandhi Bazar,6,,1020,6,1,370
Thanisandra,1,Bhmesy ,760,1,2,50
Dommasandra,2,,1090,2,2,43.5
Thigalarapalya,3,Prtanha,2072,4,2,155
Bellandur,3,,2666,3,1,230
Sarjapur  Road,3,KPiteEl,1550,2,1,89
Ramagondanahalli,2,ViistLa,1251,2,1,50
Electronic City,2,GMown E,1070,2,1,53
Kalena Agrahara,2,,1200,2,2,45
CV Raman Nagar,3,Srshq T,1435,2,2,60
Bommasandra,3,Niara S,1400,2,3,45
Judicial Layout,4,MNnia E,2330,3,2,94.71
Thanisandra,2,Inulat ,1200,2,3,60
Panathur,2,,1000,2,2,40
Bannerghatta Road,3,DSnjh S,1655,2,2,62.89
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Electronics City Phase 1,2,Avine A,1175,2,1,50
Uttarahalli,2,SLnssPr,1155,2,2,40.43
Gandhi Bazar,6,,1020,6,1,370
Budigere,2,PrityTr,1149,2,2,65
Gandhi Bazar,6,,1020,6,1,370
Chinnapanahalli,2,,1010,2,2,55
Hegde Nagar,3,Soiniy ,1718,3,2,119
Bilal Nagar,2,,650,1,1,20
Banashankari,2,Bregae ,1330,2,2,77
Hormavu,2,Srarkha,1200,2,2,68
Bannerghatta Road,3,Hiatei ,1693,3,2,89
Koramangala,2,Prood P,1249,2,1,165
Thanisandra,3,G conTh,1800,4,1,125
Gandhi Bazar,6,,1020,6,1,370
NGR Layout,2,BSian M,1020,2,1,46
Amruthahalli,3,,1700,3,2,77
Panathur,1,,661,1,1,40
Bannerghatta Road,2,GRarken,1280,2,2,60.16
Gandhi Bazar,6,,1020,6,1,370
Hosur Road,2,,1170,2,1,48
Thanisandra,1,Bhmesy ,933,2,1,58
Sarjapur  Road,2,Shthi S,1150,2,0,44
Benson Town,4,Saentva,3633,6,2,550
Rajaji Nagar,3,Tiitela,1380,3,3,130
Gandhi Bazar,6,,1020,6,1,370
Kanakapura Main Road,2,,1080,2,1,37.8
Harlur,2,Prncyrn,1303,2,1,90
Raja Rajeshwari Nagar,2,GrrvaGr,1196,2,2,40.54
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Bommanahalli,3,,1250,3,2,41
Akshaya Nagar,3,DLhtsnd,1419,2,3,87
Banashankari,2,Vimesar,1200,2,3,49
7th Phase JP Nagar,2,,1120,2,2,65
Electronics City Phase 1,2,SNdri N,1245,2,1,75
Gandhi Bazar,6,,1020,6,1,370
Channasandra,2,Unm 2El,1093,2,1,34
Electronic City,2,,1025,1,1,26.63
Hebbal,2,Prersis,1345,2,1,97
Gandhi Bazar,6,,1020,6,1,370
Vijayanagar,2,Saityat,1180,2,1,86
NGR Layout,2,BSian M,1020,2,1,48.45
Nanjappa Layout,3,,1800,3,3,85
Konanakunte,4,Prasa W,3621,4,1,511
Banagiri Nagar,3,,2008,3,2,170
Kothannur,3,,1240,2,2,39.85
CV Raman Nagar,2,JKmesHo,1020,2,1,55
2nd Stage Arekere Mico Layout,3,BrriaLu,2095,3,2,142
Gunjur,3,DSerste,1362,3,2,62.63
Yelahanka,1,Neite T,694,1,0,30.84
Vittasandra,2,Prlla C,1404,2,2,70
Electronic City Phase II,3,,1192,2,3,47
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Vittasandra,2,,1259,2,1,67.48
Kengeri,2,,1000,2,2,34
Rachenahalli,2,AsNowre,985,2,1,49.97
Indira Nagar,1,GoilsDa,850,1,2,60
Uttarahalli,3,,1650,2,1,50
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,3,,1900,4,1,180
Ambedkar Nagar,2,SoechHa,1367,2,2,86
Rajaji Nagar,3,Raesta ,1210,2,2,81
Duvasapalya,2,,1190,2,1,48.6
Sarjapur,2,,1175,2,2,42
R.T. Nagar,4,,2800,4,2,400
Whitefield,2,SSthamh,1140,2,2,40
Hoskote,2,VRowsa ,1095,2,2,33.6
Attibele,1,DSvar S,782,1,0,19.55
Gubbalala,3,MauilTr,1435,2,2,80
Choodasandra,2,Maidsr ,725,2,2,36
BCMC Layout,3,Sutesga,1600,2,2,88
Gandhi Bazar,6,,1020,6,1,370
Hosakerehalli,4,Taonte ,3205,4,2,300
Gandhi Bazar,6,,1020,6,1,370
Nehru Nagar,3,Veyalin,1674,3,1,90
Gandhi Bazar,6,,1020,6,1,370
Haralur Road,2,RInceeg,1243,2,2,46
Kanakpura Road,3,Soazak ,1703,3,2,130
Padmanabhanagar,3,,1350,3,1,71.55
Horamavu Agara,2,Suise S,1145,2,1,41.21
Whitefield,2,Prtates,1216,2,1,75
7th Phase JP Nagar,2,Panorse,1100,3,1,60
Sarjapur  Road,4,Puallhi,2425,5,1,201
Gandhi Bazar,6,,1020,6,1,370
Raja Rajeshwari Nagar,2,GrrvaGr,1196,2,2,40.54
Kanakpura Road,3,PuandHi,1600,3,3,90
Banashankari Stage V,3,Naiewre,1510,3,3,47.57
Hosakerehalli,4,Taonte ,3033,4,1,326
Gandhi Bazar,6,,1020,6,1,370
Haralur Road,2,,1194,2,2,47
Banashankari Stage II,2,,1250,2,2,110
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Raja Rajeshwari Nagar,3,i1rtsCo,1630,3,2,60.65
Hennur Road,2,,1020,2,0,45
Hosakerehalli,3,Maunt M,1410,2,2,53.58
Bhoganhalli,2,Rosha I,1181.7,2,1,100
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,3,Klark L,1691,3,2,113
Gandhi Bazar,6,,1020,6,1,370
Banaswadi,2,,1200,2,3,60
Old Airport Road,2,,1050,2,2,50
Kathriguppe,3,Prone M,1300,3,2,77.99
Whitefield,2,Preaunt,1356,2,1,94.84
Whitefield,2,Goted U,1338,2,1,103
Kengeri Satellite Town Stage II,1,,500,1,1,20
Vasantha Vallabha Nagar,3,MaitySe,1280,2,1,100
Raja Rajeshwari Nagar,3,GrrvaGr,1531,3,3,51.77
Church Street,4,,11000,4,1,1600
Anekal,2,,620,1,1,23.5
8th Phase JP Nagar,3,Yaenti ,1605,2,2,65
Thanisandra,3,Bhmesy ,1917,3,2,110
Gandhi Bazar,6,,1020,6,1,370
Srinivas Colony,3,,2750,3,2,943
Sarjapur  Road,3,Viissmi,1400,3,2,55
Thubarahalli,3,ShdhiSa,2625,3,3,175
Sahakara Nagar,2,,1100,2,1,55
Hennur Road,3,SaireSa,2041,3,3,128
Sarjapur  Road,3,SoniaEt,2070,4,2,160
Hebbal,3,Arcia S,1110,3,3,59
Uday Nagar,3,Koncyad,1650,3,1,110
